Time (s), encoder.pos
4.901820,3719710.000000
4.933830,6195150.000000
4.965700,8614720.000000
4.997730,10099900.000000
5.029580,10607900.000000
5.061570,10734600.000000
5.093490,10707200.000000
5.125340,10423900.000000
5.157310,9542400.000000
5.189190,7863850.000000
5.221210,5810880.000000
5.253090,3363360.000000
5.285120,741114.000000
5.316970,79409.000000
5.348830,9324.000000
5.380840,983.000000
5.412690,87.000000
5.444710,-121.000000
5.476550,-86.000000
5.508560,-46.000000
5.540440,-27.000000
5.572470,-15.000000
5.604310,5.000000
5.636460,871.000000
5.668180,66901.000000
5.700090,392215.000000
5.732110,1175000.000000
5.764080,2599650.000000
5.795970,4985780.000000
5.827860,8983080.000000
5.859830,14711100.000000
5.891690,21637600.000000
5.923720,29412800.000000
5.955680,37419000.000000
5.987620,45414500.000000
6.019440,52671400.000000
6.051470,57711800.000000
6.083320,60607500.000000
6.115420,62305100.000000
6.147270,63201500.000000
6.179130,63618600.000000
6.211110,63911200.000000
6.243090,64192800.000000
6.275010,64472200.000000
6.306850,64754500.000000
6.338970,64932100.000000
6.370700,65063300.000000
6.402860,65188400.000000
6.434730,65311400.000000
6.466720,65436300.000000
6.498530,65561800.000000
6.530340,65686200.000000
6.562340,65811200.000000
6.594200,65936300.000000
6.626240,66059500.000000
6.658100,66185500.000000
6.690100,66309600.000000
6.722020,66435000.000000
6.754090,66486500.000000
6.785960,66471700.000000
6.817830,66242700.000000
6.849730,65667300.000000
6.881650,64913800.000000
6.913600,64137000.000000
6.945480,63355700.000000
6.977490,62577800.000000
7.009360,61798700.000000
7.041330,61200100.000000
7.073190,61005800.000000
7.105340,61027800.000000
7.137190,61279900.000000
7.169120,61998200.000000
7.201060,63233200.000000
7.232890,64738600.000000
7.264850,66252000.000000
7.296710,67777504.000000
7.328780,69033104.000000
7.360620,69600600.000000
7.392610,69701000.000000
7.424520,69618400.000000
7.456490,69261000.000000
7.488400,68379104.000000
7.520440,66761100.000000
7.552290,64369400.000000
7.584330,61302500.000000
7.616240,57589100.000000
7.648100,53191000.000000
7.680000,48035100.000000
7.711860,42804900.000000
7.743810,37543000.000000
7.775820,32262100.000000
7.807830,26980600.000000
7.839710,21698000.000000
7.871880,16419500.000000
7.903830,11262700.000000
7.935630,6784220.000000
7.967530,3147740.000000
7.999530,651104.000000
8.031390,80450.000000
8.063390,152876.000000
8.095250,667724.000000
8.127140,1866950.000000
8.159180,3764900.000000
8.191100,6259120.000000
8.223010,9340790.000000
8.254890,13010400.000000
8.286880,16779000.000000
8.318750,20558800.000000
8.350920,24193100.000000
8.382610,27042700.000000
8.414520,29060300.000000
8.446510,30239800.000000
8.478410,30734300.000000
8.510390,30894400.000000
8.542240,30928400.000000
8.574220,30917000.000000
8.606190,30889000.000000
8.638220,30858300.000000
8.670120,30826900.000000
8.702010,30811000.000000
8.733910,30955100.000000
8.765900,31697800.000000
8.797780,33087600.000000
8.829660,35217500.000000
8.861630,38075300.000000
8.893530,41175700.000000
8.925550,44287500.000000
8.957370,47403000.000000
8.989470,50528200.000000
9.021240,54049100.000000
9.053220,58622900.000000
9.085120,64142800.000000
9.117160,70204496.000000
9.149050,74254800.000000
9.180880,74855800.000000
9.212880,74449600.000000
9.244760,72572600.000000
9.276800,68732496.000000
9.308620,62807600.000000
9.340610,55155400.000000
9.372550,47192100.000000
9.404510,39222800.000000
9.436630,31223500.000000
9.468420,23249800.000000
9.500300,15249700.000000
9.532300,7673090.000000
9.564150,1881420.000000
9.596150,211317.000000
9.628030,111695.000000
9.659900,407699.000000
9.691900,944945.000000
9.723760,1714800.000000
9.755750,3326120.000000
9.787620,5980300.000000
9.819630,9377280.000000
9.851490,13094600.000000
9.883510,16860000.000000
9.915420,20372600.000000
9.947410,23183400.000000
9.979300,25416300.000000
10.011300,27158100.000000
10.043200,28704900.000000
10.075200,30238400.000000
10.107100,31770800.000000
10.139100,33297000.000000
10.170900,34833700.000000
10.203000,36355300.000000
10.234800,37886000.000000
10.266800,39407300.000000
10.298700,40934000.000000
10.330700,42465300.000000
10.362500,43991800.000000
10.394500,45522800.000000
10.426400,47049200.000000
10.458400,48580600.000000
10.490300,50107300.000000
10.522400,51633500.000000
10.554300,53161100.000000
10.586100,54701300.000000
10.618000,56227800.000000
10.649900,57749500.000000
10.681900,59275900.000000
10.713800,60806500.000000
10.745800,62328300.000000
10.777700,63865500.000000
10.809600,65386500.000000
10.841700,66917100.000000
10.873500,68444096.000000
10.905500,69975400.000000
10.937500,71501696.000000
10.969400,73032496.000000
11.001300,74546496.000000
11.033300,74951800.000000
11.065200,74994200.000000
11.097200,74999400.000000
11.129200,75000000.000000
11.161100,75000096.000000
11.192900,75000096.000000
11.224900,75000096.000000
11.256800,75000000.000000
11.288900,75000000.000000
11.320800,75000000.000000
11.352700,75000000.000000
11.384700,75000000.000000
11.416500,75000000.000000
11.448400,75000000.000000
